Country;City;Km (section);Km (cuml.);Connection
NL;Amsterdam;369;772;E35, E19, E231
NL;Groningen;200;972;E232
D;Oldenburg;131;1103; 
D;Bremen;51;1153;E37, E233, E234
D;Hamburg;124;1277;E45, E26
D;Lübeck;71;1348;E47
D;Rostock;131;1479;E55
D;Stralsund;73;1552;E251
D;Saßnitz;51;1602;E251
S;Trelleborg;111;1713;E06
S;Malmö;27;1740;E65, E20, E06
S;Kalmar;295;2035; 
S;Norrköping;254;2288;E04
Country;City;Km (section);Km (cuml.);Connection
NL;Amsterdam;0;0;E35, E19, E22
NL;Amersfoort;54;54;E30, E232
Country;City;Km (section);Km (cuml.);Connection
NL;Amersfoort;0;0;E30, E231
NL;Hoogeveen;110;110;E233
NL;Groningen;62;172;E22
Country;City;Km (section);Km (cuml.);Connection
NL;Hoogeveen;0;0;E232
D;Haselünne;73;73; 
D;Cloppenburg;46;119; 
D;Bremen;70;188;E37, E22, E234
Country;City;Km (section);Km (cuml.);Connection
D;Cuxhaven;0;0; 
D;Bremerhaven;41;41; 
D;Bremen;57;99;E37, E22, E233
D;Walsrode;68;167; 
Country;City;Km (section);Km (cuml.);Connection
F;Metz;0;0;E25, E50, E21, E411
F;Nancy;58;58;E21
F;Besançon;199;257;E60
CH;Vallorbe;86;343; 
CH;Lausanne;48;391;E25, E62
Country;City;Km (section);Km (cuml.);Connection
GB;Birmingham;0;0;E05
GB;Cambridge;163;163; 
GB;Ipswich;91;254;E30
Country;City;Km (section);Km (cuml.);Connection
D;Saßnitz;0;0;E22
D;Stralsund;50;50;E22
D;Neubrandenburg;99;149; 
D;Berlin;136;286;E55, E30, E51, E26, E28, E36
Country;City;Km (section);Km (cuml.);Connection
NL;Hoek van Holland;0;0;E30
NL;Rotterdam;33;33;E19, E31
NL;Gouda;25;59;E30
NL;Utrecht;35;94;E35, E30, E311
NL;'s-Hertogenbosch;59;152; 
NL;Eindhoven;38;190;E34, E312
NL;Maastricht;86;277; 
B;Liège;40;317;E40, E42, E46, E313
B;Bastogne;90;406; 
B;Arlon;38;444;E411
L;Luxembourg;28;473;E29, E44, E421
F;Metz;63;536;E50, E21, E23, E411
F;Saint-Avold;49;585; 
F;Strasbourg;124;709;E52
F;Mulhouse;108;817;E60, E54, E512
CH;Basel;38;854;E35, E60, E54
CH;Olten;47;901;E35
CH;Bern;67;968;E27
CH;Lausanne;103;1072;E23, E62
CH;Genève;64;1135;E21, E62, E712
F;Mont-Blanc;91;1227; 
I;Aosta;46;1272;E27
I;Ivrea;70;1343;E612
